var_hbs,var
EUR_HE00,total_he
EUR_HE01,CP_01
EUR_HE02,CP_02
EUR_HE03,CP_03
EUR_HE04,CP_04
EUR_HE0411,CP_0411
EUR_HE0421,CP_0421
EUR_HE045,CP_045
EUR_HE0451,electricity
EUR_HE0452,gas
EUR_HE04521,natural_gas
EUR_HE04522,lpgas
EUR_HE0453,liquid_fuels
EUR_HE0454,solid_fuels
EUR_HE04541,coal
EUR_HE04549,other_solid
EUR_HE0455,heat_energy
EUR_HE05,CP_05
EUR_HE06,CP_06
EUR_HE07,CP_07
EUR_HE072,CP_072
EUR_HE0722,fuels
EUR_HE07221,diesel
EUR_HE07222,petrol
EUR_HE07223,other_fuels
EUR_HE073,CP_073
EUR_HE0731,transport_railway
EUR_HE0732,transport_road
EUR_HE0733,transport_air
EUR_HE0734,transport_sea
EUR_HE0735,combined_transport
EUR_HE08,CP_08
EUR_HE09,CP_09
EUR_HE10,CP_10
EUR_HE11,CP_11
EUR_HE12,CP_12
EUR_HJ00,total_hj
