VAR_EPF,VAR_EN,value,NAME,description,file
HA04,number,,,hh identification number,h
COUNTRY,country,AT,AT,hbs country,h
COUNTRY,country,BE,BE,hbs country,h
COUNTRY,country,BG,BG,hbs country,h
COUNTRY,country,CY,CY,hbs country,h
COUNTRY,country,CZ,CZ,hbs country,h
COUNTRY,country,DE,DE,hbs country,h
COUNTRY,country,DK,DK,hbs country,h
COUNTRY,country,EE,EE,hbs country,h
COUNTRY,country,EL,EL,hbs country,h
COUNTRY,country,ES,ES,hbs country,h
COUNTRY,country,FI,FI,hbs country,h
COUNTRY,country,FR,FR,hbs country,h
COUNTRY,country,HR,HR,hbs country,h
COUNTRY,country,HU,HU,hbs country,h
COUNTRY,country,IE,IE,hbs country,h
COUNTRY,country,IT,IT,hbs country,h
COUNTRY,country,LT,LT,hbs country,h
COUNTRY,country,LU,LU,hbs country,h
COUNTRY,country,LV,LV,hbs country,h
COUNTRY,country,MT,MT,hbs country,h
COUNTRY,country,NL,NL,hbs country,h
COUNTRY,country,PL,PL,hbs country,h
COUNTRY,country,PT,PT,hbs country,h
COUNTRY,country,RO,RO,hbs country,h
COUNTRY,country,SE,SE,hbs country,h
COUNTRY,country,SI,SI,hbs country,h
COUNTRY,country,SK,SK,hbs country,h
YEAR,year,,,hbs wave reference year,h
NUTS1,nuts1,,,region nuts1,h
HA09,zone,1,Densely populated,degree of urbanisation: >500inh/km2,h
HA09,zone,2,Intemediate,degree of urbanisation: 100-499inh/km3,h
HA09,zone,3,Sparsely populated,degree of urbanisation: <100inh/km4,h
HA09,zone,9,Not provided,degree of urbanisation: <100inh/km5,h
HA10,weight,,,sample weight,h
HB05,household_size,,,household size,h
HB062,eq_size,,,Equivalent size (modified OECD scale),h
HB074,household_type,1,Adult alone,Type of Household 1 - Age limit for children set at 16 years of age ),
HB074,household_type,2,Couple,Type of Household 1 - Age limit for children set at 16 years of age ),
HB074,household_type,3,More than 2 adults,Type of Household 1 - Age limit for children set at 16 years of age ),
HB074,household_type,4,Single parent,Type of Household 1 - Age limit for children set at 16 years of age ),
HB074,household_type,5,Couple with children,Type of Household 1 - Age limit for children set at 16 years of age ),
HB074,household_type,6,More than 2 adults with children,Type of Household 1 - Age limit for children set at 16 years of age ),
HB074,household_type,9,Other,Type of Household 1 - Age limit for children set at 16 years of age ),
HI11,income_source,1,Wages,Main source of income,h
HI11,income_source,2,Self-employment,Main source of income,h
HI11,income_source,3,Property,Main source of income,h
HI11,income_source,4,Pensions,Main source of income,h
HI11,income_source,5,Unemployment,Main source of income,h
HI11,income_source,6,Other,Main source of income,h
HI11,income_source,9,Not provided,Main source of income,h
HD20,active_member,,,number of members economnically active,h
