COICOP,Divisiones COICOP,1995,1996,1997,1998,1999,2000,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EUR_A_01,1. ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,"48,409","50,109","50,902","51,488","52,990","56,762","60,692","64,496","67,344","69,479","72,127","75,908","78,962","82,292","78,220","80,145","81,453","82,064","83,111","83,644","85,738","86,140","87,191","90,878","92,600","98,546","97,645","103,548"
EUR_A_011,1.1 Alimentos,"45,661","47,376","48,054","48,513","49,787","53,279","56,772","60,381","62,904","64,756","67,071","70,435","73,039","75,905","71,804","73,407","74,391","74,856","75,813","76,193","78,053","78,306","79,229","82,650","84,737","90,179","88,719","93,649"
EUR_A_0111,1.1.1 Pan y cereales,"7,071","7,229","7,401","7,352","7,385","7,839","8,357","9,134","9,387","9,971","10,410","10,698","11,325","12,123","11,924","12,045","12,123","11,972","12,067","12,200","12,168","12,073","11,723","12,085","12,687","12,778","12,213","13,476"
EUR_A_0112,1.1.2 Carne,"12,350","13,163","13,753","13,581","13,604","14,775","15,757","16,688","16,961","17,227","17,873","18,697","19,373","20,202","18,944","19,347","19,756","20,109","20,011","20,516","20,609","20,044","20,196","21,499","22,107","23,380","23,681","24,177"
EUR_A_0113,1.1.3 Pescado y marisco,"5,819","6,088","6,238","6,683","7,061","7,711","8,357","8,680","9,004","8,894","9,328","9,809","9,735","9,558","9,111","9,205","9,368","9,196","9,247","9,268","9,456","9,620","9,451","9,704","9,791","10,744","11,049","10,884"
EUR_A_0114,"1.1.4 Leche, queso y huevos","5,960","6,110","6,068","6,380","6,575","6,946","7,593","8,006","8,175","8,484","8,668","8,878","9,280","10,003","9,204","9,388","9,490","9,488","9,326","9,372","9,299","9,218","9,156","9,254","9,372","10,064","9,298","10,203"
EUR_A_0115,1.1.5 Aceites y grasas,"2,481","2,626","2,282","1,894","2,036","1,960","1,908","2,045","2,018","2,269","2,422","2,876","2,394","2,447","2,108","2,101","2,127","2,164","2,405","2,328","2,610","2,738","2,920","3,027","2,589","2,601","2,748","3,589"
EUR_A_0116,1.1.6 Frutas,"4,374","4,607","4,690","4,885","5,052","5,455","5,716","6,025","6,603","6,506","6,601","6,731","6,961","7,134","6,458","6,572","6,500","6,555","6,824","6,613","7,241","7,466","7,911","8,613","8,669","9,285","8,599","8,829"
EUR_A_0117,1.1.7 Verduras,"5,056","4,952","5,025","5,211","5,435","5,780","6,023","6,547","6,947","7,076","7,206","7,605","8,089","8,016","7,594","7,842","7,780","7,886","8,159","7,966","8,206","8,406","8,787","9,056","9,479","10,731","10,569","10,971"
EUR_A_0118,"1.1.8 Azúcar, confituras, miel, chocolate y confitería","1,556","1,592","1,611","1,571","1,644","1,759","1,839","1,974","2,175","2,340","2,426","2,689","3,075","3,084","2,990","3,081","3,202","3,269","3,273","3,301","3,314","3,339","3,406","3,352","3,424","3,541","3,497","3,811"
EUR_A_0119,1.1.9 Productos alimenticios no comprendidos anteriormente,994,"1,009",986,956,995,"1,054","1,222","1,282","1,634","1,989","2,137","2,452","2,807","3,338","3,471","3,826","4,045","4,217","4,501","4,629","5,150","5,402","5,679","6,060","6,619","7,055","7,065","7,709"
EUR_A_012,1.2 Bebidas no alcohólicas,"2,748","2,733","2,848","2,975","3,203","3,483","3,920","4,115","4,440","4,723","5,056","5,473","5,923","6,387","6,416","6,738","7,062","7,208","7,298","7,451","7,685","7,834","7,962","8,228","7,863","8,367","8,926","9,899"
EUR_A_02,"2. BEBIDAS ALCOHOLICAS, TABACO Y NARCOTICOS","14,957","14,747","15,847","16,168","16,291","17,665","19,198","19,642","20,391","22,233","23,014","23,362","25,240","25,985","25,665","26,659","26,830","26,689","26,322","26,704","26,696","28,053","28,160","28,327","28,601","29,551","30,146","32,227"
EUR_A_021,2.1 Bebidas alcohólicas,"2,582","2,661","2,835","2,885","3,013","3,283","3,472","3,566","3,908","4,253","4,549","5,008","5,460","5,893","5,990","6,244","6,424","6,668","6,631","6,955","7,393","7,840","7,955","8,098","8,509","10,375","10,011","10,601"
