category_a,category_b
QUINTIL,CCAA
QUINTIL,TAMAMU
QUINTIL,ZONA
QUINTIL,TIPHOGAR
QUINTIL,HIJOS
QUINTIL,POBREZA
QUINTIL,GENEROPR
QUINTIL,GRADOFEM
QUINTIL,EDADPR
QUINTIL,ESTUDIOSPR
QUINTIL,SPROFESIONALPR
QUINTIL,TIPOCONTPR
QUINTIL,JORNADAPR
QUINTIL,REGTEN
DECIL,CCAA
DECIL,TAMAMU
DECIL,ZONA
DECIL,TIPHOGAR
DECIL,HIJOS
DECIL,POBREZA
DECIL,GENEROPR
DECIL,GRADOFEM
DECIL,EDADPR
DECIL,ESTUDIOSPR
DECIL,SPROFESIONALPR
DECIL,TIPOCONTPR
DECIL,JORNADAPR
DECIL,REGTEN
CCAA,DECIL
CCAA,QUINTIL
CCAA,TAMAMU
CCAA,ZONA
CCAA,TIPHOGAR
CCAA,HIJOS
CCAA,POBREZA
CCAA,GENEROPR
CCAA,GRADOFEM
CCAA,EDADPR
CCAA,ESTUDIOSPR
CCAA,SPROFESIONALPR
CCAA,TIPOCONTPR
CCAA,JORNADAPR
CCAA,REGTEN
TAMAMU,DECIL
TAMAMU,QUINTIL
TAMAMU,CCAA
TAMAMU,ZONA
TAMAMU,TIPHOGAR
TAMAMU,HIJOS
TAMAMU,POBREZA
TAMAMU,GENEROPR
TAMAMU,GRADOFEM
TAMAMU,EDADPR
TAMAMU,ESTUDIOSPR
TAMAMU,SPROFESIONALPR
TAMAMU,TIPOCONTPR
TAMAMU,JORNADAPR
TAMAMU,REGTEN
ZONA,DECIL
ZONA,QUINTIL
ZONA,CCAA
ZONA,TAMAMU
ZONA,TIPHOGAR
ZONA,HIJOS
ZONA,POBREZA
ZONA,GENEROPR
ZONA,GRADOFEM
ZONA,EDADPR
ZONA,ESTUDIOSPR
ZONA,SPROFESIONALPR
ZONA,TIPOCONTPR
ZONA,JORNADAPR
ZONA,REGTEN
TIPHOGAR,DECIL
TIPHOGAR,QUINTIL
TIPHOGAR,CCAA
TIPHOGAR,TAMAMU
TIPHOGAR,ZONA
TIPHOGAR,HIJOS
TIPHOGAR,POBREZA
TIPHOGAR,GENEROPR
TIPHOGAR,GRADOFEM
TIPHOGAR,EDADPR
TIPHOGAR,ESTUDIOSPR
TIPHOGAR,SPROFESIONALPR
TIPHOGAR,TIPOCONTPR
TIPHOGAR,JORNADAPR
TIPHOGAR,REGTEN
HIJOS,DECIL
HIJOS,QUINTIL
HIJOS,CCAA
HIJOS,TAMAMU
HIJOS,ZONA
HIJOS,TIPHOGAR
HIJOS,POBREZA
HIJOS,GENEROPR
HIJOS,GRADOFEM
HIJOS,EDADPR
HIJOS,ESTUDIOSPR
HIJOS,SPROFESIONALPR
HIJOS,TIPOCONTPR
HIJOS,JORNADAPR
HIJOS,REGTEN
POBREZA,DECIL
POBREZA,QUINTIL
POBREZA,CCAA
POBREZA,TAMAMU
POBREZA,ZONA
POBREZA,TIPHOGAR
POBREZA,HIJOS
POBREZA,GENEROPR
POBREZA,GRADOFEM
POBREZA,EDADPR
POBREZA,ESTUDIOSPR
POBREZA,SPROFESIONALPR
POBREZA,TIPOCONTPR
POBREZA,JORNADAPR
POBREZA,REGTEN
GENEROPR,DECIL
GENEROPR,QUINTIL
GENEROPR,CCAA
GENEROPR,TAMAMU
GENEROPR,ZONA
GENEROPR,TIPHOGAR
GENEROPR,HIJOS
GENEROPR,POBREZA
GENEROPR,GRADOFEM
GENEROPR,EDADPR
GENEROPR,ESTUDIOSPR
GENEROPR,SPROFESIONALPR
GENEROPR,TIPOCONTPR
GENEROPR,JORNADAPR
GENEROPR,REGTEN
GRADOFEM,DECIL
GRADOFEM,QUINTIL
GRADOFEM,CCAA
GRADOFEM,TAMAMU
GRADOFEM,ZONA
GRADOFEM,TIPHOGAR
GRADOFEM,HIJOS
GRADOFEM,POBREZA
GRADOFEM,GENEROPR
GRADOFEM,EDADPR
GRADOFEM,ESTUDIOSPR
GRADOFEM,SPROFESIONALPR
GRADOFEM,TIPOCONTPR
GRADOFEM,JORNADAPR
GRADOFEM,REGTEN
EDADPR,DECIL
EDADPR,QUINTIL
EDADPR,CCAA
EDADPR,TAMAMU
EDADPR,ZONA
EDADPR,TIPHOGAR
EDADPR,HIJOS
EDADPR,POBREZA
EDADPR,GENEROPR
EDADPR,GRADOFEM
EDADPR,ESTUDIOSPR
EDADPR,SPROFESIONALPR
EDADPR,TIPOCONTPR
EDADPR,JORNADAPR
EDADPR,REGTEN
ESTUDIOSPR,DECIL
ESTUDIOSPR,QUINTIL
ESTUDIOSPR,CCAA
ESTUDIOSPR,TAMAMU
ESTUDIOSPR,ZONA
ESTUDIOSPR,TIPHOGAR
ESTUDIOSPR,HIJOS
ESTUDIOSPR,POBREZA
ESTUDIOSPR,GENEROPR
ESTUDIOSPR,GRADOFEM
ESTUDIOSPR,EDADPR
ESTUDIOSPR,SPROFESIONALPR
ESTUDIOSPR,TIPOCONTPR
ESTUDIOSPR,JORNADAPR
ESTUDIOSPR,REGTEN
SPROFESIONALPR,DECIL
SPROFESIONALPR,QUINTIL
SPROFESIONALPR,CCAA
SPROFESIONALPR,TAMAMU
SPROFESIONALPR,ZONA
SPROFESIONALPR,TIPHOGAR
SPROFESIONALPR,HIJOS
SPROFESIONALPR,POBREZA
SPROFESIONALPR,GENEROPR
SPROFESIONALPR,GRADOFEM
SPROFESIONALPR,EDADPR
SPROFESIONALPR,ESTUDIOSPR
SPROFESIONALPR,TIPOCONTPR
SPROFESIONALPR,JORNADAPR
SPROFESIONALPR,REGTEN
