VAR_EPF,VAR,VAR_EN,value,NOMBRE,NAME
CCAA,CCAA,REGION,1,Andalucía,Andalucía
CCAA,CCAA,REGION,2,Aragón,Aragón
CCAA,CCAA,REGION,3,Asturias,Asturias
CCAA,CCAA,REGION,4,Baleares,Baleares
CCAA,CCAA,REGION,5,Canarias,Canarias
CCAA,CCAA,REGION,6,Cantabria,Cantabria
CCAA,CCAA,REGION,7,Castilla y León,Castilla y León
CCAA,CCAA,REGION,8,Castilla La Mancha,Castilla La Mancha
CCAA,CCAA,REGION,9,Cataluña,Cataluña
CCAA,CCAA,REGION,10,Comunidad Valenciana,Comunidad Valenciana
CCAA,CCAA,REGION,11,Extremadura,Extremadura
CCAA,CCAA,REGION,12,Galicia,Galicia
CCAA,CCAA,REGION,13,Madrid,Madrid
CCAA,CCAA,REGION,14,Murcia,Murcia
CCAA,CCAA,REGION,15,Navarra,Navarra
CCAA,CCAA,REGION,16,País Vasco,País Vasco
CCAA,CCAA,REGION,17,La Rioja,La Rioja
CCAA,CCAA,REGION,18,Ceuta,Ceuta
CCAA,CCAA,REGION,19,Melilla,Melilla
ZC_INVIERNO,ZONACLIMATICA,CLIMATICZONE,Alpha,Canarias,Canarias
ZC_INVIERNO,ZONACLIMATICA,CLIMATICZONE,A,A,A
ZC_INVIERNO,ZONACLIMATICA,CLIMATICZONE,B,B,B
ZC_INVIERNO,ZONACLIMATICA,CLIMATICZONE,C,C,C
ZC_INVIERNO,ZONACLIMATICA,CLIMATICZONE,D,D,D
ZC_INVIERNO,ZONACLIMATICA,CLIMATICZONE,E,E,E
TAMAMU,TAMAMU,MUNISIZE,1,>10.000,>10.000
TAMAMU,TAMAMU,MUNISIZE,2,>10.000,>10.000
TAMAMU,TAMAMU,MUNISIZE,3,>10.000,>10.000
TAMAMU,TAMAMU,MUNISIZE,4,>10.000,>10.000
TAMAMU,TAMAMU,MUNISIZE,5,<10.000,<10.000
DENSIDAD,ZONA,ZONE,1,Urbana,Urban
DENSIDAD,ZONA,ZONE,2,Semiurbana,Semi-urban
DENSIDAD,ZONA,ZONE,3,Rural,Rural
DENSI,ZONA,ZONE,1,Urbana,Urban
DENSI,ZONA,ZONE,2,Semiurbana,Semi-urban
DENSI,ZONA,ZONE,3,Rural,Rural
NMIEMB,NMIEMB,NMEMBERS,,,
NMIEM5,HIJOS,CHILDREN,0,Sin hijos/as,No children
NMIEM5,HIJOS,CHILDREN,1,Con hijos/as,With children
NMIEM5,HIJOS,CHILDREN,2,Con hijos/as,With children
NMIEM5,HIJOS,CHILDREN,3,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,4,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,5,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,6,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,7,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,8,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,9,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,10,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,11,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,12,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,13,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,14,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,15,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,16,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,17,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,18,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,19,Familia numerosa,Large family
NMIEM5,HIJOS,CHILDREN,20,Familia numerosa,Large family
TIPHOGAR1,TIPHOGAR,HHTYPE,1,Personas mayores solas,Elderly alone
TIPHOGAR1,TIPHOGAR,HHTYPE,2,Personas solas,Single person
TIPHOGAR1,TIPHOGAR,HHTYPE,3,Personas solas,Single person
TIPHOGAR1,TIPHOGAR,HHTYPE,4,Monoparental,Single parent
TIPHOGAR1,TIPHOGAR,HHTYPE,5,Parejas mayores,Elderly couples
TIPHOGAR1,TIPHOGAR,HHTYPE,6,Parejas sin hijos/as,Couples without children
TIPHOGAR1,TIPHOGAR,HHTYPE,7,Parejas con hijos/as,Couples with children
TIPHOGAR1,TIPHOGAR,HHTYPE,8,Parejas con hijos/as,Couples with children
TIPHOGAR1,TIPHOGAR,HHTYPE,9,Parejas con hijos/as,Couples with children
TIPHOGAR1,TIPHOGAR,HHTYPE,10,Monoparental,Single parent
TIPHOGAR1,TIPHOGAR,HHTYPE,11,Parejas con hijos/as,Couples with children
TIPHOGAR1,TIPHOGAR,HHTYPE,12,Otros,Others
TIPHOGAR_1,TIPHOGAR,HHTYPE,1,Personas mayores solas,Elderly alone
TIPHOGAR_1,TIPHOGAR,HHTYPE,2,Personas solas,Single person
TIPHOGAR_1,TIPHOGAR,HHTYPE,3,Personas solas,Single person
TIPHOGAR_1,TIPHOGAR,HHTYPE,4,Monoparental,Single parent
TIPHOGAR_1,TIPHOGAR,HHTYPE,5,Parejas mayores,Elderly couples
TIPHOGAR_1,TIPHOGAR,HHTYPE,6,Parejas sin hijos/as,Couples without children
TIPHOGAR_1,TIPHOGAR,HHTYPE,7,Parejas con hijos/as,Couples with children
TIPHOGAR_1,TIPHOGAR,HHTYPE,8,Parejas con hijos/as,Couples with children
TIPHOGAR_1,TIPHOGAR,HHTYPE,9,Parejas con hijos/as,Couples with children
TIPHOGAR_1,TIPHOGAR,HHTYPE,10,Monoparental,Single parent
TIPHOGAR_1,TIPHOGAR,HHTYPE,11,Parejas con hijos/as,Couples with children
TIPHOGAR_1,TIPHOGAR,HHTYPE,12,Otros,Others
TIPHOGAR_1,TIPHOGAR,HHTYPE,-9,No consta,Not provided
EDADSP,EDADPR,AGERP,1,Joven,Young
EDADSP,EDADPR,AGERP,2,Joven,Young
EDADSP,EDADPR,AGERP,3,Joven,Young
EDADSP,EDADPR,AGERP,4,Joven,Young
EDADSP,EDADPR,AGERP,5,Joven,Young
EDADSP,EDADPR,AGERP,6,Joven,Young
EDADSP,EDADPR,AGERP,7,Joven,Young
EDADSP,EDADPR,AGERP,8,Joven,Young
EDADSP,EDADPR,AGERP,9,Joven,Young
EDADSP,EDADPR,AGERP,10,Joven,Young
EDADSP,EDADPR,AGERP,11,Joven,Young
EDADSP,EDADPR,AGERP,12,Joven,Young
EDADSP,EDADPR,AGERP,13,Joven,Young
EDADSP,EDADPR,AGERP,14,Joven,Young
EDADSP,EDADPR,AGERP,15,Joven,Young
EDADSP,EDADPR,AGERP,16,Joven,Young
EDADSP,EDADPR,AGERP,17,Joven,Young
EDADSP,EDADPR,AGERP,18,Joven,Young
EDADSP,EDADPR,AGERP,19,Joven,Young
EDADSP,EDADPR,AGERP,20,Joven,Young
EDADSP,EDADPR,AGERP,21,Joven,Young
EDADSP,EDADPR,AGERP,22,Joven,Young
EDADSP,EDADPR,AGERP,23,Joven,Young
EDADSP,EDADPR,AGERP,24,Joven,Young
EDADSP,EDADPR,AGERP,25,Joven,Young
EDADSP,EDADPR,AGERP,26,Joven,Young
EDADSP,EDADPR,AGERP,27,Joven,Young
EDADSP,EDADPR,AGERP,28,Joven,Young
EDADSP,EDADPR,AGERP,29,Joven,Young
EDADSP,EDADPR,AGERP,30,Joven,Young
EDADSP,EDADPR,AGERP,31,Persona adulta,Adult
EDADSP,EDADPR,AGERP,32,Persona adulta,Adult
EDADSP,EDADPR,AGERP,33,Persona adulta,Adult
EDADSP,EDADPR,AGERP,34,Persona adulta,Adult
EDADSP,EDADPR,AGERP,35,Persona adulta,Adult
EDADSP,EDADPR,AGERP,36,Persona adulta,Adult
EDADSP,EDADPR,AGERP,37,Persona adulta,Adult
EDADSP,EDADPR,AGERP,38,Persona adulta,Adult
EDADSP,EDADPR,AGERP,39,Persona adulta,Adult
EDADSP,EDADPR,AGERP,40,Persona adulta,Adult
EDADSP,EDADPR,AGERP,41,Persona adulta,Adult
EDADSP,EDADPR,AGERP,42,Persona adulta,Adult
EDADSP,EDADPR,AGERP,43,Persona adulta,Adult
EDADSP,EDADPR,AGERP,44,Persona adulta,Adult
EDADSP,EDADPR,AGERP,45,Persona adulta,Adult
EDADSP,EDADPR,AGERP,46,Persona adulta,Adult
EDADSP,EDADPR,AGERP,47,Persona adulta,Adult
EDADSP,EDADPR,AGERP,48,Persona adulta,Adult
EDADSP,EDADPR,AGERP,49,Persona adulta,Adult
EDADSP,EDADPR,AGERP,50,Persona adulta,Adult
EDADSP,EDADPR,AGERP,51,Persona adulta,Adult
EDADSP,EDADPR,AGERP,52,Persona adulta,Adult
EDADSP,EDADPR,AGERP,53,Persona adulta,Adult
EDADSP,EDADPR,AGERP,54,Persona adulta,Adult
EDADSP,EDADPR,AGERP,55,Persona adulta,Adult
EDADSP,EDADPR,AGERP,56,Persona adulta,Adult
EDADSP,EDADPR,AGERP,57,Persona adulta,Adult
EDADSP,EDADPR,AGERP,58,Persona adulta,Adult
EDADSP,EDADPR,AGERP,59,Persona adulta,Adult
EDADSP,EDADPR,AGERP,60,Persona adulta,Adult
EDADSP,EDADPR,AGERP,61,Persona adulta,Adult
EDADSP,EDADPR,AGERP,62,Persona adulta,Adult
EDADSP,EDADPR,AGERP,63,Persona adulta,Adult
EDADSP,EDADPR,AGERP,64,Persona adulta,Adult
EDADSP,EDADPR,AGERP,65,Persona adulta,Adult
EDADSP,EDADPR,AGERP,66,Persona mayor,Elder
EDADSP,EDADPR,AGERP,67,Persona mayor,Elder
