"","coicop","AT_EU_NECP_LTT-Rev1","BE_EU_NECP_LTT-Rev1","BG_EU_NECP_LTT-Rev1","HR_EU_NECP_LTT-Rev1","CY_EU_NECP_LTT-Rev1","CZ_EU_NECP_LTT-Rev1","DK_EU_NECP_LTT-Rev1","EE_EU_NECP_LTT-Rev1","FI_EU_NECP_LTT-Rev1","FR_EU_NECP_LTT-Rev1","DE_EU_NECP_LTT-Rev1","EL_EU_NECP_LTT-Rev1","HU_EU_NECP_LTT-Rev1","IE_EU_NECP_LTT-Rev1","IT_EU_NECP_LTT-Rev1","LV_EU_NECP_LTT-Rev1","LT_EU_NECP_LTT-Rev1","LU_EU_NECP_LTT-Rev1","MT_EU_NECP_LTT-Rev1","NL_EU_NECP_LTT-Rev1","PL_EU_NECP_LTT-Rev1","PT_EU_NECP_LTT-Rev1","RO_EU_NECP_LTT-Rev1","SK_EU_NECP_LTT-Rev1","SI_EU_NECP_LTT-Rev1","ES_EU_NECP_LTT-Rev1","SE_EU_NECP_LTT-Rev1"
"1","CP01121",1,0.999980128568164,0.999990988456212,0.999993979047084,0.99999148218499,0.999990566314615,0.999980896526033,0.999994426628233,0.999993990679544,1,0.999990512513994,0.999991382133439,0.999980178590896,1,0.999992741156914,0.99999037480509,0.999988620104964,0.999991364943397,0.999981270777731,0.999981623389749,0.999994170150002,0.999987434818119,0.999996873247716,0.999981073868691,0.999990479454663,0.999994871873766,0.999990000899919
"2","CP01122",0.999998084900204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997436403582,1
"3","CP01123",1,0.999985761983071,1,0.999991277878082,1,0.999990813889399,0.999992426193253,0.999990958081666,0.999992047397511,1,0.999993274598157,1,1,0.999993122089784,1,1,1,0.999992943434572,0.999985761983071,0.999992870434405,1,1,1,0.999998662516902,1,0.999996949194943,0.999992873381367
"4","CP01124",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","CP0114",1,1,1,1,1.00000551273994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998995869005,1,1,1,1,0.99999156089657,1
"6","CP04310",1.00000310424039,1.00000309831576,1.00000321103569,1.00000311327657,0.999993759010429,1.00000979371178,1.00000316250534,1.00000348754076,1.00000310183318,1,1,1.00000622750314,1.00000313481589,1.00000328909501,1.00000390504493,1,1,1.0000130658322,1,1.00000612780768,1.00000628922907,0.999997040001421,1.00000964273661,1.0000064180321,1.00000326145095,1,1
"7","CP0441",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","CP04510",1.05362783720164,1.0068704195498,1.00374183816758,1.00362962651059,1,1.00363523676714,1.41770803061126,1.01536585270515,1.08168136230414,1.00523880691936,1.07367117678549,1.00828736380456,1.00342047777856,1.00422281085646,1.1018653632254,1.00354048633843,1.00352016472312,1.00365978199704,1.00663656748685,1.42998058252427,1.01665075787881,1.00412862135047,1.00350258133917,1,1.01070493791695,1.00410230532739,1.11166860577855
"9","CP04521",1.13895086925257,1.02466885574354,1.00000280384575,1.02595879045549,1.071695516199,1.02414395897002,1.74214803728444,1.07438337812856,1.35562374490434,1.06995076578972,1.11592392656827,1.12609086974876,1.02734039919631,1.09261752209574,1.10193216065448,1.0367393568595,1.00000278388686,1.02680748045112,1.02628202597608,1.51324918498704,1.0278020910345,1.04945082581291,1.03328643651149,1.03103567937568,1.12110144131186,1.05424554411602,1.5939286612457
"10","CP04530",1,0.999998568973339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","CP04541",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","CP0455/0",1.00005056613849,1.00009390504114,1.00000297899215,1,1,1.00002285447287,1.00004728456561,1.00003315437339,1.00003871550556,1.00002416404487,1.00003643945989,1,1.00000306599869,1,1.00006859253397,1.00006784273666,1.00010863617343,1.00000963548943,1,1.00000714317348,1.00000373410206,1,1.00001943630399,1.00001857340342,1.00002217316751,1,1
"13","CP07221",1,0.999998568973339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","CP07222",1,0.999998568973339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","CP07223",0.999995934513138,0.999995908028857,1,1,1,1.00000397293636,1,1,1,0.999996025184431,0.999995913513602,1,1,1,1.00000510219701,1,1,0.999995831683375,1.00000502770264,0.999995912110373,1,0.999995303047383,1,1,1.0000039899135,0.99999532767047,1.00000403981643
"16","CP07311",1.00110272802517,1.00250058060975,1.01880671566841,1.01856832043371,1.02888207043757,1.00809397525211,1.00349366967197,1.02819498612379,1.00276688116063,1.00216897433087,1.00237771963228,1.00555272107475,1.00790039055797,1.00902174080794,1.00220371861021,1.02589243413599,1.03383521995123,1.00248845504552,1.02660962590958,1.0027935740144,1.01142409255804,1.00674640415222,1.01398939903672,1.00829778002748,1.02023719536035,1.00256249782165,1.00133506965343
"17","CP07312",1.00205096676425,1.00468749613498,1.01880671566841,1.01856832043371,1.02888207043757,1.00809397525211,1.00628742191967,1.02819498612379,1.0051515569661,1.00411841932857,1.00445876263151,1.01146286033252,1.00790039055797,1.01557525088068,1.00432091489551,1.02589243413599,1.03383521995123,1.00403271817451,1.02660962590958,1.00516133289654,1.01142409255804,1.01378022064001,1.01398939903672,1.00829778002748,1.02023719536035,1.00511129381325,1.00242279813325
"18","CP07321",1.01215202041707,1.01583001122421,1.01152081563297,1.01528703967136,1.02557122120036,1.01205319563633,1.0120674163915,1.01594598273535,1.01722938113407,1.01690670373531,1.01598447317128,1.0254561372284,1.01329217968933,1.01150096282119,1.01687962966155,1.01710249221586,1.01654153311924,1.00551419597599,1.02062153284387,1.01684637153106,1.01316698734452,1.02504001455923,1.01829234682227,1.01395385829926,1.0146040912079,1.01513970790638,1.01328097615289
"19","CP07331",1.14122328863325,1.17345850346378,1.14011546043368,1.16503293154393,1.18755141790363,1.16018141688887,1.15709523227189,1.15494867453304,1.18957330270772,1.18550069030344,1.1855647188232,1.20037809773004,1.14719107900363,1.15364519593396,1.24002402655306,1.14943184983011,1.14232248339657,1.09158141643506,1.1814156393696,1.20106113442699,1.14451289898258,1.19773097789775,1.18069574365244,1.16734809662122,1.19521286178427,1.13875375976904,1.18102475993718
"20","CP07332",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","CP09331",1,1,1.0000037959884,1,1,1.00000388990026,1,1,1,1,1.0000039623576,1,1,1,1,1,1.00000395638481,1,1,1,1,1,1,1.00000363852029,1,1,1
"22","CP09541",1,1.00000362923713,1,1,1,1.00000194040248,1,1,1.00000252052971,1,1,1,1,1,1.00000669812553,1,1,1,1,0.999995749166837,1,1,1,1,1,0.999995935058494,1
"23","CP01111",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","CP01112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","CP01154",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","CP0116",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","CP01163",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","CP0117",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","CP01176",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","CP01181",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
